Symbol,Type,Strike,Exp Date,MidPrice
NVDA,Put,170.00,2026-09-18,0.3850
VG,Call,14.00,2026-08-21,0.2500
NVDA,Put,210.00,2026-09-18,4.2000
CG,Call,47.50,2026-08-21,1.6000
WULF,Call,18.00,2026-09-18,1.6700
NU,Call,14.50,2026-08-21,0.3950
NU,Call,14.00,2026-08-21,0.8100
INTC,Call,110.00,2026-08-21,0.9650
NVDA,Put,160.00,2026-09-18,0.2500
HPQ,Put,28.00,2026-09-18,1.3700
GIS,Put,35.00,2026-09-18,0.3250
DHT,Call,18.00,2026-08-21,0.9750
SHOP,Call,160.00,2026-09-18,3.8000
NN,Call,20.00,2026-09-18,2.0500
SPCX,Put,125.00,2026-09-18,3.1000
CRWV,Call,100.00,2026-08-21,7.5750
GRAB,Put,2.00,2027-12-17,0.1900
BIDU,Put,101.00,2026-08-21,1.9800
IVZ,Call,32.00,2026-08-21,0.9000
NU,Call,15.00,2026-09-18,0.5150
AG,Call,20.00,2026-09-18,1.2350
CIFR,Call,17.50,2026-08-21,1.2350
INTC,Call,110.00,2026-09-18,5.6750
TSLA,Call,340.00,2026-08-21,5.7000
SPCX,Call,180.00,2026-08-21,0.0950
HTZ,Put,2.50,2026-08-21,0.3700
CAPR,Call,15.00,2026-08-21,0.2750
SPCX,Call,160.00,2026-08-21,0.9900
INDI,Call,4.00,2026-08-21,0.8000
WULF,Call,25.00,2026-09-18,0.2550
UBER,Call,78.00,2026-08-21,0.2750
ORCL,Call,200.00,2026-10-16,3.1400
AMZN,Call,280.00,2026-08-21,0.1350
MSTR,Call,107.00,2026-08-21,0.6900
AMD,Call,520.00,2026-09-25,30.9250
SPCX,Call,220.00,2027-01-15,7.7000
PSKY,Call,10.00,2026-09-18,0.6950
NVDA,Put,180.00,2026-12-18,4.3250
NFLX,Call,76.00,2026-08-28,1.7700
BTG,Call,4.00,2027-01-15,1.4250
DAR,Call,62.50,2026-08-21,5.4500
ZIM,Call,26.00,2026-08-21,3.0700
TE,Call,5.00,2026-08-21,0.2000
MARA,Put,8.50,2026-08-28,0.1100
ONDS,Put,8.00,2026-09-18,0.3350
MSFT,Put,500.00,2026-08-21,20.9000
WULF,Put,16.00,2026-08-21,0.1350
ARIS,Put,15.00,2026-09-18,0.2250
NU,Call,15.00,2027-01-15,1.5400
IWM,Put,289.00,2026-09-18,1.9700
XLE,Put,55.00,2026-09-18,0.1200
DRAM,Call,60.00,2026-08-21,2.1100
SPY,Put,750.00,2026-08-26,0.6500
TLT,Put,85.00,2027-01-15,4.8750
XLE,Call,59.50,2026-08-21,3.0900
XLE,Call,62.00,2026-08-21,1.0150
DRAM,Call,60.00,2026-09-18,5.2250
KORU,Put,1.00,2028-12-15,0.2000
USO,Call,111.00,2026-08-21,18.9000
DRAM,Put,45.00,2026-09-18,0.4800
DRAM,Call,80.00,2026-09-18,0.6850
KWEB,Call,29.00,2026-09-18,0.2750
IWM,Call,310.00,2026-09-18,3.2700
XLE,Call,65.00,2026-09-18,0.9450
SPY,Call,790.00,2026-09-18,4.3800
SPY,Put,750.00,2026-08-21,0.1950
EEM,Put,65.00,2027-03-19,3.9500
SPY,Call,820.00,2026-09-18,0.3200
IWM,Put,280.00,2026-09-18,1.0500
SPY,Put,730.00,2026-09-18,2.7400
ETHA,Put,15.00,2026-08-21,0.7600
IBIT,Put,36.50,2026-08-21,0.5000
SOXX,Call,590.00,2026-09-18,16.2500
QQQ,Put,680.00,2026-08-28,0.7000
IWM,Put,295.00,2026-08-21,0.2300
TQQQ,Put,60.00,2026-08-28,0.1750
IWM,Put,292.00,2026-08-21,0.1500
KWEB,Call,28.00,2026-09-18,0.5550
XLF,Call,60.00,2026-09-18,0.2450
SLV,Call,60.00,2026-08-21,0.8200
XLE,Call,60.00,2026-08-21,2.5950
IWM,Call,305.00,2026-08-21,1.3450
QQQ,Call,735.00,2026-09-18,14.4950
TLT,Put,83.00,2026-08-21,1.6700
KRE,Put,75.00,2026-09-18,0.9750
XLF,Call,60.00,2026-10-16,0.5900
IWM,Call,306.00,2026-08-21,0.9400
QQQ,Call,750.00,2026-09-18,7.8800
DRAM,Call,55.00,2026-08-21,5.5500
QQQ,Put,625.00,2026-10-16,3.3750
SLV,Call,60.00,2026-09-18,2.8050
SOXX,Call,570.00,2026-08-21,5.6000
TQQQ,Call,75.00,2026-08-21,2.4500
QQQ,Put,700.00,2026-08-28,1.7350
NVDA,Call,227.50,2026-08-21,2.1150
NVDA,Call,235.00,2026-08-21,0.4600
NOK,Call,14.00,2026-09-18,0.1350
WBD,Put,20.00,2026-12-18,0.1800
VG,Call,15.00,2026-09-18,0.5500
AS,Call,32.50,2026-08-21,1.8750
AS,Call,35.00,2026-09-18,1.2750
NOK,Put,9.00,2026-09-18,0.1350
NVDA,Call,237.50,2026-08-21,0.2700
CCJ,Put,80.00,2026-10-16,0.9550
NVDA,Put,215.00,2026-08-21,0.4650
NVDA,Call,247.50,2026-08-28,1.2150
BAC,Call,65.00,2026-08-21,0.1750
NKE,Put,40.00,2026-08-28,1.3250
NVDA,Call,230.00,2026-08-21,1.3150
SMCI,Call,41.00,2026-08-21,0.4950
NU,Call,17.00,2026-11-20,0.5600
SMCI,Call,44.00,2026-08-21,0.1700
BIDU,Put,91.00,2026-08-21,0.1400
FIGR,Call,32.50,2026-08-21,3.5500
INTC,Call,135.00,2026-09-18,1.3450
NVDA,Put,202.50,2026-08-21,0.1150
IREN,Call,46.00,2026-08-21,1.3350
XOM,Call,170.00,2026-08-21,0.1950
EYPT,Put,5.00,2026-08-21,0.3500
SPCX,Put,100.00,2026-10-16,1.5400
TSLA,Put,340.00,2026-09-18,15.2000
OXY,Call,61.00,2026-08-21,0.2500
RIVN,Call,20.00,2026-09-18,0.1050
COIN,Call,152.50,2026-08-21,3.4000
ONDS,Call,13.00,2026-09-18,0.1450
